gmag,ra,dec,plx,bp_rp,lum_val,teff_val,radius_val,abs_mag,L_value,temp,radius
15.684173,58.45209641024671,23.485778193170404,3.4866299261260667,2.1924276,0.062332526,3797.0,0.57693756,-7.60992523254466,0.035442071153271686,2967.981218286175,0.71894097613239
12.923352,56.99900482385139,24.7310928566792,6.493298083217951,1.5911531,0.15626729,4456.165,0.66322994,-7.261571490565631,0.12993570873929292,3538.852567478626,0.9682673937406983
16.45421,55.86575939894856,24.270604215586683,2.6750747340243386,2.3462887,0.050943777,3830.01,0.51262337,-8.164679805357004,0.029624031512865256,2856.0651681224595,0.7098095565952782
12.179868,55.67669285857913,23.50264426061002,8.29417601215028,1.3694553,0.16585155,4861.035,0.574189,-6.7811404787951215,0.1579451538718024,3828.5927742904883,0.9120754980891231
14.584626,55.78654090030755,23.25183762506102,4.447532032901411,1.8732138,0.085902296,4112.1074,0.5774656,-7.492403679995444,0.059966876810571605,3239.7043828739247,0.7848757942150165
9.9920635,56.54194201255162,23.33979807837593,8.131807477293217,0.80635834,1.1342697,5775.0,1.0639148,-9.067796791009954,1.2325383012398914,4942.5152577374165,1.5288333988388636
9.312448,56.42257403323711,24.28839747922854,7.762786109484023,0.7296572,2.3001885,6020.8667,1.3938509,-9.97962187248616,2.529213899519333,5163.780694728373,2.0063799904479227
8.538714,56.55296896286061,23.12832466113452,12.674684102977416,0.75563335,1.7630941,5969.3335,1.2414771,-8.302029263287439,1.9348179683717655,5086.107419764064,1.8088601302990868
10.568231,56.01779069851887,24.9896235104989,7.675576054490252,0.87180996,0.76424956,5518.0,0.9565482,-8.78032866182896,0.8137399564896944,4771.454185193864,1.3328991515385025
8.005559,56.35902448304342,24.034951235343783,7.384428664141677,0.31556606,8.66476,7696.0,1.6557729,-11.53634965179829,9.31413656109899,7001.09144790399,2.094574378743213
8.112242,56.10725619560783,24.394503667295428,7.952291143571879,0.38979816,6.634721,7291.85,1.6139442,-11.059233988379361,7.279786732638211,6555.233422698274,2.1122192364784813
13.302774,56.11385207609108,24.84376374321564,7.584187079369021,2.0216541,0.12242076,3744.6934,0.8312806,-6.105675233476688,0.06715406791580676,3105.924056484234,0.903671290211491
13.31963,57.03204486101981,25.31509319970764,7.607815272661129,1.7250109,0.08632085,4267.0,0.5376074,-6.073266173520135,0.06570948786130798,3388.635044977935,0.750966272512055
12.900635,56.11678953687744,24.171349848235792,8.992966129676228,1.6759357,0.091391325,4256.0,0.5560347,-5.6559277417775125,0.06917355322012954,3441.8317852147698,0.7468729790260835
11.8450365,56.05315825086265,24.03159793439591,7.037055815377483,1.2904806,0.30697253,4948.6133,0.753764,-7.937790521642645,0.2986781196863173,3946.9241331140147,1.1801579445097647
14.103501,55.57874349775856,23.989328604861345,4.608275310353782,1.7378521,0.11685198,4224.947,0.63801104,-7.7960070560137655,0.0870007037916922,3375.051997777982,0.8710767732574979
14.174072,56.47415454365783,24.468913197940356,10.735933369354736,2.4659548,0.035288427,3408.0,0.53885216,-3.4967225252711476,0.015020748863439414,2775.9992739884683,0.5350114581623457
8.635171,56.64521253254737,25.84366469038482,6.410912706560451,0.4993515,6.2493443,6906.455,1.7460613,-11.61359715133404,6.91977340365145,6011.450339727063,2.4487440636654574
13.58171,57.39555212693745,23.454464951187536,6.660031089233904,1.8976984,0.10906695,3919.0,0.71638864,-6.476445631937979,0.06735401465098094,3216.6481463640916,0.8437826952861414
13.545067,58.09386206805316,23.64466978418656,7.877838579149136,1.8461952,0.0787066,3954.71,0.59762526,-5.673441523617132,0.04979193966186095,3265.6319978754923,0.7038838874710065
13.971644,56.8700656576877,22.376429914139397,6.934395534785454,2.090582,0.0812063,3706.6667,0.69100374,-5.8846629527235255,0.04338355932359461,3048.351261599376,0.7540298842959972
15.366779,56.03026858483428,22.92844874282634,0.926216090952968,1.0934544,0.67071784,5093.607,1.0516512,-14.555235954908802,0.6727655687518297,4286.843163021223,1.5014562282599007
12.989554,56.20917049772812,24.91091690461163,7.445933005755682,1.564805,0.11357483,4419.6465,0.57480246,-6.510882504594472,0.09296942635643822,3570.4196957765994,0.8046138865152052
13.431323,56.52195259271056,22.981425882323062,7.558974834524186,1.774396,0.0860909,4110.893,0.5784408,-5.99377550942326,0.06005442333029497,3337.1301574682166,0.7402564433312867
13.964578,57.09488451825278,23.972351359264,8.3407813487956,2.2302809,0.064261176,3530.3333,0.6776346,-4.968413900469393,0.0301825081881812,2939.43696796088,0.6764027227179353
11.738894,55.95431391466964,25.729417749558284,7.567568944275074,1.1642485,0.29382196,4932.27,0.7423369,-7.680523032675326,0.2847932078584801,4156.505962886372,1.0391158877484283
13.333311,57.33572312992139,25.817826110692213,7.686985777779043,1.7308359,0.08613838,4208.3335,0.55211645,-6.0078216939109605,0.06355700809662916,3382.4566235410052,0.7412645613478858
13.783011,55.98213025281262,24.426210921526224,7.5475227461871475,1.911253,0.07467317,3835.0,0.6190193,-5.649668413249374,0.043569917632208584,3204.0595614506624,0.6839875474165149
14.806614,56.6058705381128,24.159925397183912,7.644526536226495,2.5330095,0.0368229,3473.75,0.5298031,-4.562212863430798,0.01654448355222336,2733.5263179324206,0.5790766795204217
11.588625,56.65747999203077,24.74748434712627,7.603623323698955,1.1175804,0.32822162,5013.48,0.7593774,-7.807026960911138,0.3239729956216053,4241.2880293130975,1.064424493198355
12.527379,58.61658590282128,23.83518131097792,7.53139236551412,1.7062473,0.1878236,4215.0,0.8127043,-6.9159977258254735,0.13909062302211,3408.730488044622,1.079740976601713
